region,month,season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
all,1,winter,177.6847304,182.4222786,174.9748909,166.9907033,161.4218435,157.6842607,153.5820027,148.6349768,145.8156829,144.1629964,149.562043,158.4721099,180.3775905,204.5966342,235.893239,256.7591402,276.6237265,288.8229601,296.0500702,298.5492281,299.6687267,301.679722,301.5881276,306.9614098,322.8114873,327.4168628,323.3375852,310.7935447,303.4400039,303.4496248,310.9923969,326.7299131,360.2281048,404.2023716,448.3651381,466.0393275,460.7298157,438.2133163,410.5996326,383.2866431,360.6439956,338.9607353,317.520457,293.1373026,268.7539583,239.5810461,209.5597886,188.0363178
all,2,winter,169.9325474,174.9337672,168.1510592,161.055781,155.3966736,151.9581037,147.9264503,143.2934614,140.0768746,139.1794994,145.4637515,154.8071955,178.1481918,204.4856716,236.5490562,255.7437266,270.2718867,277.7171788,281.4511125,282.4895364,280.0867907,278.265497,276.9582565,281.4688798,294.377004,296.6498151,290.8325604,278.7855596,271.39577,269.557963,274.9877098,285.8139714,312.7997235,349.833494,401.0175446,435.5540102,443.243994,426.4255295,400.14595,373.3494861,351.7920886,329.5696972,309.106191,284.383287,261.5075618,231.7436874,201.6958218,180.9185306
all,3,spring,160.0088246,164.4250975,157.9590356,150.6406447,145.5708319,141.912635,137.8814626,132.8780669,130.1760795,128.9302342,134.6678969,144.0774447,168.0399448,193.9671357,223.2234078,237.0568589,247.6325259,252.3194357,253.5817274,252.5729094,250.0668798,246.1345068,244.0251947,247.4041772,257.9892512,260.0723218,255.2731426,244.5345884,237.5946605,234.4626783,237.2651838,246.8202215,269.4013859,300.5916586,341.297209,373.4114674,392.6413002,395.7885413,380.906622,357.0318448,336.5423989,315.5155439,296.1007791,271.9070098,249.1133446,221.5505569,192.9858177,172.1068119
all,4,spring,178.8432434,157.9369806,142.6274691,137.1844522,132.8979222,137.0113313,133.4092088,128.2536807,124.8007016,122.6308197,120.7271995,119.2199413,122.3075776,128.8376883,147.6048104,167.9112205,196.1815344,213.7401022,227.3460507,232.2594652,235.8554896,235.8483267,234.3786549,230.0418276,227.9548065,231.8530279,243.8626722,244.0485576,235.0620343,222.2207712,215.2349646,210.7973572,211.3397087,216.513946,234.9142908,263.2011366,296.6586074,318.6194648,326.2696124,319.7438087,309.8891411,300.4620295,296.446554,286.9806453,274.048331,253.307797,233.8328257,206.5769829
all,5,spring,167.7602031,147.9338722,133.9743269,128.7314546,123.3383607,124.5198138,120.6005528,115.4261859,111.57021,108.5955003,106.5310409,105.4059169,108.0594728,113.4233111,128.1449754,145.2238376,170.6230658,187.5604741,201.1436102,207.2197077,211.6442333,212.7904239,211.7962364,209.3436724,207.7814719,211.5255155,222.2313645,223.2001452,215.6288879,204.5020062,198.5166646,194.2354456,195.2285103,200.6815511,216.0763794,241.4522384,271.318292,288.6410061,293.6418313,285.6354249,274.9186618,262.7398646,255.0018583,246.6540702,241.9828938,229.7457641,215.5445556,192.6509397
all,6,summer,166.9785051,147.2458302,131.0409736,122.5540507,115.2850195,111.4121382,107.1815897,102.0405864,98.81538515,97.48694512,96.33970408,95.66074543,97.69724943,101.6941766,113.130732,128.3893661,151.211547,169.0456832,185.3310385,195.960928,202.8786406,205.830403,206.945324,205.7843155,205.9547723,209.9021957,222.1038301,223.2243652,215.1253341,203.6896374,195.5221238,191.7089238,192.8027813,196.5526779,211.978696,237.592422,266.9304484,287.2196422,289.9954416,280.6320897,266.7619168,252.3560372,241.358687,231.2017265,226.1193851,217.6495349,209.5074791,190.8087357
all,7,summer,163.1983714,144.1772711,128.8208806,121.1310837,113.9213642,109.7372711,105.3289016,100.1743219,97.82493454,96.41959476,95.62571886,95.01164247,96.91308524,101.3534843,112.481452,127.1122197,149.7577422,166.5723452,182.7158221,191.3112471,196.7059196,198.4984508,198.3419565,196.7005401,196.4656462,199.8140518,210.6271296,211.1604192,203.2299935,192.7030346,186.2354944,182.1430546,183.1139,186.4784083,200.6390965,224.9350254,253.017019,269.856295,273.5039148,266.1198049,254.9918619,242.0925304,234.3261347,225.124945,221.2106304,213.5857227,204.9700958,185.8477784
all,8,summer,161.1847632,143.4915147,130.1292026,122.8939594,115.6491807,111.9065906,107.3359085,102.8879916,100.4128429,99.05880716,97.96585841,97.17114064,98.95433662,103.937015,115.0312026,129.0406062,148.8251913,165.2615737,181.5629474,190.7809845,196.4186675,198.2855395,197.4344394,195.0792819,193.5521574,196.8396982,206.7421637,206.6110591,200.3404747,190.7350876,185.9437385,181.9009038,183.0742814,186.7232285,200.4500094,221.7472156,247.2557542,263.6751451,267.7984271,262.9887713,254.6756902,246.6549705,242.3464091,236.428023,231.058157,217.2284673,204.0970558,183.6038861
all,9,autumn,158.7009316,139.840702,126.1936687,119.8245327,113.7700409,111.1213698,107.3995143,103.1603285,100.4825424,98.43330753,97.39741545,97.41367108,100.3823034,107.0050351,124.0891168,147.6402509,175.5500315,191.8940416,199.8917024,201.1639028,203.8579568,201.9661258,199.1157705,195.4247992,193.1138236,195.3756823,204.456769,205.1032677,200.0885054,189.9885279,184.4421133,181.5041302,182.1165816,190.3161149,208.8412712,235.6808725,266.7203139,287.1847007,295.2335293,294.9585064,292.3950439,287.8555401,277.1176228,261.0249795,244.2282522,225.2831769,207.841452,183.9874952
all,10,autumn,167.2454905,151.5336248,137.1861121,130.3440989,125.8178438,127.1579754,123.6370656,118.359804,114.9016102,112.6880812,112.7547803,113.3083911,121.0262252,132.1332939,155.8902079,179.9561606,209.8175028,227.0696832,234.9103882,233.4241223,235.762272,233.7396275,230.8063296,229.2835518,230.9046509,232.8083849,240.780811,239.7717853,233.39809,224.6162102,221.8039675,221.8987911,230.0540082,247.5339258,277.1180379,305.3507077,334.8045354,353.4920221,361.4241436,358.234113,342.3225526,320.9804554,300.7809849,280.2158435,261.6572156,239.2789679,217.423937,192.5648259
all,11,autumn,153.5092393,156.1130688,148.5328003,141.4543736,135.8364781,132.2893919,127.946797,123.6033957,120.5473922,120.3257361,127.5522616,135.6401986,159.0922853,186.473486,221.9102046,239.0293719,248.0548666,251.4359845,255.3619888,254.7823726,254.3969311,251.7990172,250.7827838,255.4080597,267.9568633,271.7699912,268.0002073,258.5540297,254.3699536,255.1937582,265.1975289,286.1514643,325.3956906,373.4563294,415.9225201,429.0092755,420.6005177,399.7548286,374.5428617,348.929725,328.3697126,307.5699886,286.7856219,264.6139021,242.002115,215.5436563,186.005287,165.3177817
all,12,winter,173.4810156,177.2937087,169.32372,161.6113365,155.1735849,151.4344357,146.7081594,141.6590651,138.8836716,137.1470178,142.390428,150.7087395,174.0621293,199.9116334,232.4541718,253.8137792,272.2651519,282.9502232,290.1768797,293.1823853,293.2711236,292.3233824,291.722241,295.7395177,309.2387346,313.6685945,311.903429,302.8222913,298.2701831,299.0559184,309.1395439,329.3960736,366.8433022,405.1092618,437.6371414,448.2095741,442.5865147,423.81433,401.3808785,375.9483336,355.7450829,335.979756,315.7637096,292.9030891,268.5956436,240.3176657,209.9089603,188.3346424
west_midlands,1,winter,159.0536583,192.4738851,188.3128878,179.2016205,173.8004777,167.9287085,163.9060533,158.9689969,152.6132762,146.9104058,149.5777644,152.884715,175.389871,194.0989911,222.1425606,234.4847105,250.8752288,258.9319004,268.4997322,273.632695,276.6726709,278.8098522,279.6325164,284.9778805,297.911187,306.9350922,302.7836481,292.7636936,283.4791081,280.7617517,288.6174724,300.7340967,329.9410964,370.7299674,411.4118789,428.8645596,421.5551538,398.7030713,374.2538056,348.746864,325.0511138,309.9790411,296.3347842,276.2422436,257.8227534,229.7256596,197.4516763,174.2225793
west_midlands,2,winter,152.1002881,190.9522676,186.910152,178.6049862,172.2685208,165.5705337,160.7360102,152.9112378,145.1799048,139.0532657,142.2471603,147.6790069,170.2408962,191.4859058,217.9297377,233.6724088,245.894095,248.6450973,254.8575127,255.1525098,255.3059175,254.5599265,252.0938153,256.6584398,269.1839973,275.8806899,267.154744,257.6707592,247.8025558,247.1351165,251.3550906,264.2879187,288.2113088,321.4163326,368.9976405,402.6321306,403.6651842,389.5651048,366.2235238,339.9020713,321.8242713,303.9878894,290.1008937,266.2640316,248.7008477,218.3678694,188.6527186,166.1038587
