"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Thu 09:00,39178,38341,31729,24993,42501,46676,38909,40418,36014,33498,32684
Thu 09:30,39426,38906,33304,26374,43013,47418,39348,40825,36232,34052,33171
Thu 10:00,39532,39059,34159,27831,43022,47696,39262,40706,36084,34260,33153
Thu 10:30,39315,38827,34786,29443,42994,47791,38879,40304,35869,34157,33225
Thu 11:00,39290,38786,34607,30665,42772,47656,38471,39815,35888,34080,33367
Thu 11:30,39226,38857,34696,31879,42687,47611,38336,39620,35707,34466,33430
Thu 12:00,39231,39017,35098,32886,42508,47494,38148,39389,35613,34700,33137
Thu 12:30,39294,39191,35771,33714,42610,47687,38093,39090,35602,34693,33017
Thu 13:00,39057,39149,36357,34146,42363,47543,37932,38596,35157,34367,32498
Thu 13:30,38755,38959,36288,34257,42340,47251,37733,37956,34762,33947,32075
Thu 14:00,38567,38792,35783,34241,42120,47127,37695,37614,34384,33457,31648
Thu 14:30,38364,38764,35125,34236,42103,46949,38114,37275,34138,33092,31207
Thu 15:00,38214,38652,34192,34251,42088,46655,38049,37098,33888,32877,30821
Thu 15:30,38096,38748,33557,34586,42329,46711,38288,37005,33849,32391,30731
Thu 16:00,38826,39283,33336,35246,43445,47441,39280,37255,34375,32767,30850
Thu 16:30,39738,40504,34067,36751,45251,48402,40425,37735,35230,33483,31257
Thu 17:00,40644,42786,34677,38097,47781,49565,41886,38542,36025,34046,31939
Thu 17:30,41605,44929,34485,38710,49122,51257,42965,39155,36580,34486,32547
Thu 18:00,42269,45285,33914,38301,49125,51960,43831,39496,36668,34283,32800
Thu 18:30,43622,44814,33448,37623,48808,51556,45959,39834,36717,34016,32923
Thu 19:00,43547,43914,33053,36780,48194,51206,46442,39998,36576,33811,32925
Thu 19:30,42467,42538,32823,35826,47063,50881,45616,40018,36609,33511,32776
Thu 20:00,41593,41036,32537,35021,45807,49614,44467,40481,36446,33083,32571
Thu 20:30,40152,39630,32357,34128,44428,48217,43013,41315,36345,32865,32108
Thu 21:00,38566,38085,31786,32880,42672,46338,41204,40153,36677,32229,32127
Thu 21:30,36906,36402,31379,31550,40649,44263,39713,38705,37104,31798,32871
Thu 22:00,34800,34486,30512,30329,38168,41745,37525,36761,36041,31522,32433
Thu 22:30,32829,32397,29892,29177,35822,39489,35320,34982,34286,31005,30876
Thu 23:00,30721,30451,29602,28234,33792,37323,33325,33004,32129,29341,28907
Thu 23:30,28441,28449,28666,26495,31550,34896,31106,30897,30078,27259,26860
Fri 00:00,26720,27074,27791,25476,30092,33436,29887,29103,28300,25480,25095
Fri 00:30,25223,26384,27587,25229,29548,33216,29569,27378,26730,23879,23742
Fri 01:00,24376,25988,27732,25340,29888,33617,29795,26644,25889,23033,22871
Fri 01:30,24558,25198,27350,24928,29688,33376,29575,26853,25754,22588,22312
Fri 02:00,24979,24285,26538,24309,29146,32774,28892,27711,25995,22392,22032
Fri 02:30,24864,23423,25898,23677,28719,32275,28311,27680,25738,22008,21611
Fri 03:00,24479,23219,25659,23592,28741,32347,28111,27272,25332,21698,21345
Fri 03:30,24095,22812,25129,22908,28472,31861,27727,26863,25032,21463,21162
Fri 04:00,24015,22513,24464,22409,27967,31343,27192,26438,24735,21341,21068
Fri 04:30,23857,22542,24001,21992,27685,31002,26850,25870,24508,21220,21057
Fri 05:00,23962,22750,23805,21985,27698,31027,27022,25499,24575,20884,21152
Fri 05:30,24598,23477,23888,22250,28305,31557,27781,25709,24772,21215,21625
Fri 06:00,25786,24499,24153,22984,29819,32894,29237,26059,25559,22133,22105
Fri 06:30,28676,27316,24930,24664,32978,36223,32466,27191,28218,24509,24086
Fri 07:00,31964,29768,25450,26026,36411,39724,35417,28019,31120,26755,26028
Fri 07:30,36171,32217,26337,27900,40963,43752,38964,29682,34457,29495,28486
Fri 08:00,38394,33855,26953,29246,43423,45463,40635,31263,36293,31475,30249
Fri 08:30,39406,35590,28134,30645,44222,46077,41231,32880,37158,32644,31783
Fri 09:00,39212,36357,29598,32174,44188,45953,41316,33774,36776,32616,32507
Fri 09:30,39738,36924,31364,33698,45043,46499,41882,34979,36892,32921,32875
Fri 10:00,39807,36922,32951,34395,45168,46538,41760,35598,36629,32903,32770
Fri 10:30,39586,36673,34158,34890,45050,46295,41578,35971,36303,32765,32546
Fri 11:00,39529,36474,35250,35001,45191,45753,41622,36138,36128,32749,32466
Fri 11:30,39589,36418,35684,35340,45182,45331,41484,36230,36198,32744,32517
Fri 12:00,39336,36458,36000,35401,44766,45030,41326,36239,36142,32658,32570
Fri 12:30,39413,36278,36357,35403,44639,44872,41322,36252,36138,32594,32592
Fri 13:00,39244,36017,36384,35328,44188,44350,40895,35881,35988,32166,32190
Fri 13:30,38717,35646,36177,35272,43876,43945,40612,35500,35597,31810,31840
Fri 14:00,38430,35485,35988,35289,43465,43452,40185,35189,35642,31451,31574
Fri 14:30,38202,35563,35969,35649,43533,43330,40080,35049,35777,31234,31494
Fri 15:00,37913,35464,35759,36012,43187,43067,39756,34859,35589,30950,31397
Fri 15:30,37478,35591,36004,36619,43311,43114,39382,34758,35418,30920,31395
Fri 16:00,37854,35905,36914,37750,44178,43937,39666,34843,36127,31369,31547
Fri 16:30,38456,36691,38198,40087,45818,45176,40378,35122,36872,32151,31848
Fri 17:00,39083,38973,38676,43650,48245,46792,41275,35932,37638,32958,32448
Fri 17:30,39865,41084,39124,44922,49326,49280,42083,36861,38237,33462,32892
Fri 18:00,40246,40696,38868,44432,49316,51183,42815,37481,38234,33607,33074
Fri 18:30,41933,40008,38254,44062,49298,51033,44502,37490,37935,33722,33006
Fri 19:00,42224,38851,37583,43442,48651,50223,45712,37390,37516,33674,32864
Fri 19:30,41222,37727,36723,42160,47475,48932,44936,37317,36929,33565,32351
Fri 20:00,39714,36545,35916,40753,46172,47479,43548,37374,36445,33308,32025
Fri 20:30,38432,35332,35272,39318,44701,45941,42258,37655,35738,33068,31651
Fri 21:00,36938,33954,34388,37834,42854,44037,40414,36602,35360,32514,31596
Fri 21:30,35521,32692,33261,36520,41246,42387,38706,35747,34732,32359,32070
Fri 22:00,33624,31234,32038,34753,39099,40311,36836,34096,33268,32143,31317
Fri 22:30,31950,29985,30997,33194,37317,38546,34865,32768,31267,31681,30016
Fri 23:00,30213,28616,30232,31764,35731,36876,33130,31278,29377,29968,28481
Fri 23:30,28321,26839,28854,30124,33747,34787,31282,29327,27390,27938,26770
Sat 00:00,26655,25778,27699,28798,32417,33466,30181,27678,25580,25995,25113
Sat 00:30,25100,24982,27321,28308,31815,33222,29703,26166,24289,24480,23716
Sat 01:00,24143,24595,27498,28296,31968,33571,29974,25433,23417,23537,22812
Sat 01:30,24164,23750,27141,27999,31529,33239,29568,25743,23173,23097,22181
Sat 02:00,24450,22723,26343,27216,30730,32389,28645,26369,23388,22802,21779
Sat 02:30,24100,22086,25704,26412,30151,31670,28064,26211,23016,22384,21354
Sat 03:00,23549,21914,25539,26084,30069,31722,27842,25802,22484,22182,20936
Sat 03:30,23149,21528,25085,25493,29377,31327,27261,25466,22136,21889,20713
Sat 04:00,22641,21047,24508,24841,28603,30572,26611,25151,21824,21738,20542
Sat 04:30,22312,20963,24148,24436,28184,30132,26227,24786,21567,21603,20348
Sat 05:00,22146,20993,23954,24218,27962,29949,26045,24410,21226,21276,20405
Sat 05:30,22200,21354,24085,24347,28039,29975,26236,24391,21063,21521,20508
Sat 06:00,22657,21909,24394,24845,28263,30178,26707,24592,21059,22333,20410
Sat 06:30,23943,23238,25343,26013,29525,31355,27858,25558,22220,24617,21299
Sat 07:00,25409,24281,26136,27071,30829,32465,28806,26120,23473,26924,22232
Sat 07:30,27539,25609,27480,28277,32624,34190,30579,27659,25173,29913,23600
Sat 08:00,29000,26786,28387,29444,34110,35103,31856,29088,26731,31653,24820
Sat 08:30,30759,28589,29962,31195,36020,37266,33859,30885,28515,32723,26254
Sat 09:00,31883,29846,31874,33073,37925,39326,35425,32048,29791,32717,26999
Sat 09:30,32965,30886,33843,35155,39751,41124,36528,33438,30561,32948,27704
Sat 10:00,33261,31221,35090,36737,40663,41747,36600,33961,30604,32681,27622
Sat 10:30,33479,31226,36035,37977,41231,42156,36828,34132,30628,32298,27464
Sat 11:00,33284,31017,36429,38641,41476,42140,36992,33900,30698,32074,27129
Sat 11:30,33140,30993,36843,39147,41418,42097,37117,33800,30676,32020,26863
Sat 12:00,32813,30710,37026,39502,41114,41985,37331,33871,30482,31870,26609
Sat 12:30,32471,30511,37303,39759,40904,41806,37369,33735,30445,31821,26513
Sat 13:00,31940,30273,37327,39566,40631,41523,37067,33451,29916,31449,26203
Sat 13:30,31267,30062,37230,39283,40154,41061,36775,32945,29405,30922,25704
Sat 14:00,30768,29939,37102,38979,39861,40813,36343,32369,28689,30625,25152
Sat 14:30,30369,29800,37201,38629,39907,40605,36029,31957,28460,30441,24700
Sat 15:00,30026,29779,37259,38327,39766,40441,35635,31562,28255,30329,24450
Sat 15:30,30085,30167,37609,38436,40195,40466,35476,31449,28203,30455,24469
Sat 16:00,30325,30940,38305,39042,40759,40697,35574,31447,28160,31122,24544
Sat 16:30,31168,32341,40305,40881,41923,41259,36059,31901,28600,31898,25103
Sat 17:00,32632,34982,42286,43427,44637,42875,37227,32609,29493,32616,25919
Sat 17:30,34244,37532,43336,44845,47008,45271,38409,33656,30632,33222,26861
Sat 18:00,36014,37892,43325,45095,47237,46747,39690,34410,31256,33021,27495
Sat 18:30,37948,37190,42907,44604,46783,46380,41239,34773,31617,32848,28016
Sat 19:00,37758,36077,42158,43500,46033,45629,42760,35189,31710,32731,28281
Sat 19:30,36771,34704,41024,42469,44523,44522,42409,35334,31687,32389,28277
Sat 20:00,35405,33218,39827,41013,42833,42912,40829,35603,31688,32064,28120
Sat 20:30,34176,32090,38981,39783,41611,41469,39411,35998,31678,31635,27927
Sat 21:00,32806,30882,37681,38565,40314,40039,38033,35567,31725,31302,28065
Sat 21:30,31608,29800,36315,37198,38895,38623,36621,34770,32260,31280,29012
