timeline_time,timeline_weekday,kw_demand_winter,kw_demand_spring,kw_demand_summer,kw_demand_autumn
09:00,Tue,0.424,0.372,0.216,0.878
09:30,Tue,0.538,0.296,0.166,0.342
10:00,Tue,0.83,0.354,0.166,0.33
10:30,Tue,0.334,0.288,0.17,0.238
11:00,Tue,0.336,0.28,0.214,0.204
11:30,Tue,0.278,0.222,0.136,1.088
12:00,Tue,0.322,0.294,0.156,0.794
12:30,Tue,0.648,1.13,0.208,0.52
13:00,Tue,0.412,0.474,0.174,0.226
13:30,Tue,0.298,0.234,0.158,0.236
14:00,Tue,0.266,0.302,0.158,0.234
14:30,Tue,0.284,0.176,0.216,0.174
15:00,Tue,0.324,0.762,0.134,0.496
15:30,Tue,0.26,0.394,0.158,0.232
16:00,Tue,0.266,0.464,0.202,0.57
16:30,Tue,0.33,0.516,0.184,0.264
17:00,Tue,0.296,0.536,0.16,0.454
17:30,Tue,0.824,1.372,0.166,0.712
18:00,Tue,0.822,1.302,0.224,1.804
18:30,Tue,1.034,0.55,0.15,1.308
19:00,Tue,1.448,0.912,0.166,0.806
19:30,Tue,1.398,0.562,0.202,0.992
20:00,Tue,0.836,1.43,0.192,1.96
20:30,Tue,0.738,1.556,0.146,0.74
21:00,Tue,1.968,0.754,0.16,0.674
21:30,Tue,1.454,0.466,0.216,0.6
22:00,Tue,0.788,0.27,0.15,0.61
22:30,Tue,0.574,0.256,0.16,0.242
23:00,Tue,0.346,0.174,0.19,0.174
23:30,Tue,0.324,0.194,0.198,0.16
00:00,Wed,0.286,0.232,0.144,0.136
00:30,Wed,0.226,0.19,0.158,0.214
01:00,Wed,0.254,0.162,0.222,0.148
01:30,Wed,0.302,0.162,0.158,0.162
02:00,Wed,0.294,0.198,0.162,0.16
02:30,Wed,0.276,0.192,0.182,0.236
03:00,Wed,0.252,0.164,0.202,0.144
03:30,Wed,0.33,0.142,0.136,0.162
04:00,Wed,0.26,0.226,0.154,0.18
04:30,Wed,0.274,0.214,0.218,0.192
05:00,Wed,0.282,0.164,0.164,0.14
05:30,Wed,0.326,0.156,0.158,0.146
06:00,Wed,0.234,0.222,0.176,0.202
06:30,Wed,0.242,0.156,0.212,0.206
07:00,Wed,0.324,0.22,0.128,0.536
07:30,Wed,0.278,0.678,0.156,0.89
08:00,Wed,0.356,0.642,0.216,0.44
08:30,Wed,0.584,0.588,0.164,0.38
09:00,Wed,0.64,0.246,0.158,0.456
09:30,Wed,0.538,0.28,0.17,0.378
10:00,Wed,0.656,0.518,0.218,0.358
10:30,Wed,0.43,0.2,0.124,0.262
11:00,Wed,0.362,0.292,0.158,0.248
11:30,Wed,0.28,0.186,0.22,0.296
12:00,Wed,0.322,0.28,0.17,0.576
12:30,Wed,0.352,0.43,0.158,0.204
13:00,Wed,0.344,0.498,0.168,0.222
13:30,Wed,0.32,0.412,0.222,0.202
