"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Mon 00:00,0.23944,0.24888,0.33441,0.34579,0.32482,0.33386,0.30308,0.27993,0.2698,0.27124,0.23455
Mon 00:30,0.22965,0.22911,0.30385,0.32503,0.30546,0.3179,0.27207,0.2884,0.25883,0.26458,0.21973
Mon 01:00,0.21114,0.21182,0.26679,0.31091,0.2757,0.30505,0.26685,0.27207,0.24854,0.2437,0.231
Mon 01:30,0.2041,0.20101,0.26431,0.30183,0.26934,0.29204,0.26458,0.26367,0.22283,0.22585,0.19885
Mon 02:00,0.20272,0.19896,0.2461,0.2909,0.25997,0.29143,0.26019,0.24718,0.2139,0.21693,0.20392
Mon 02:30,0.19352,0.19912,0.24039,0.275,0.24915,0.29975,0.25112,0.2341,0.21335,0.20853,0.18637
Mon 03:00,0.19814,0.2097,0.23907,0.27371,0.24124,0.27245,0.24983,0.23523,0.20747,0.20558,0.19635
Mon 03:30,0.21435,0.22026,0.26322,0.29833,0.27555,0.30005,0.27668,0.24627,0.2077,0.19605,0.20331
Mon 04:00,0.22786,0.23084,0.26477,0.3177,0.27419,0.31359,0.28228,0.26186,0.21451,0.17987,0.20823
Mon 04:30,0.25262,0.24775,0.27944,0.30606,0.29487,0.33031,0.31321,0.27018,0.21625,0.17578,0.22222
Mon 05:00,0.29223,0.30349,0.29714,0.34116,0.36552,0.38749,0.35406,0.31049,0.23009,0.20717,0.23448
Mon 05:30,0.35014,0.33299,0.36291,0.36652,0.42954,0.47341,0.43136,0.36525,0.23024,0.21912,0.24491
Mon 06:00,0.42736,0.36366,0.40882,0.39853,0.46415,0.53627,0.45912,0.38878,0.2729,0.22616,0.26276
Mon 06:30,0.47294,0.42485,0.42334,0.42506,0.58441,0.57923,0.49013,0.5194,0.28833,0.25134,0.30096
Mon 07:00,0.43796,0.40776,0.45968,0.45592,0.51524,0.56524,0.50042,0.48786,0.32706,0.32116,0.32327
Mon 07:30,0.39516,0.41241,0.47417,0.48361,0.48109,0.52916,0.44293,0.48022,0.39014,0.33636,0.32955
Mon 08:00,0.39979,0.4126,0.50762,0.55446,0.49297,0.50367,0.43091,0.43665,0.43174,0.39074,0.34513
Mon 08:30,0.37618,0.3845,0.49578,0.5413,0.42588,0.53332,0.42349,0.45594,0.41389,0.45768,0.36495
Mon 09:00,0.34286,0.37274,0.47563,0.54553,0.46203,0.52545,0.4421,0.41268,0.44376,0.41653,0.31329
Mon 09:30,0.35368,0.38583,0.47441,0.55211,0.43529,0.48143,0.46335,0.38991,0.43507,0.42856,0.35913
Mon 10:00,0.3572,0.36971,0.49542,0.59587,0.46479,0.53082,0.43975,0.40557,0.46683,0.43733,0.32743
Mon 10:30,0.37505,0.40171,0.48612,0.58093,0.44789,0.52235,0.4452,0.38651,0.4123,0.43295,0.31337
Mon 11:00,0.3898,0.39316,0.51813,0.57828,0.45908,0.51993,0.45276,0.41873,0.43423,0.42954,0.33129
Mon 11:30,0.40455,0.35992,0.5072,0.57575,0.46668,0.5281,0.4564,0.40179,0.40814,0.44437,0.33961
Mon 12:00,0.38779,0.37195,0.5011,0.55552,0.4427,0.54958,0.46161,0.39543,0.39309,0.42183,0.3232
Mon 12:30,0.37974,0.3606,0.53521,0.56029,0.48952,0.51819,0.43491,0.39074,0.38303,0.4157,0.3415
Mon 13:00,0.37278,0.34222,0.52953,0.53619,0.46876,0.52152,0.44149,0.42001,0.4275,0.37577,0.32002
Mon 13:30,0.35875,0.34165,0.54264,0.54755,0.50212,0.53566,0.46971,0.40557,0.42032,0.38083,0.30875
Mon 14:00,0.35436,0.36011,0.55902,0.53636,0.48658,0.55003,0.4511,0.42236,0.40035,0.37372,0.32887
Mon 14:30,0.38367,0.35973,0.5541,0.58252,0.49924,0.52303,0.44376,0.42085,0.41374,0.3952,0.33038
Mon 15:00,0.44441,0.41396,0.60704,0.63929,0.59659,0.66341,0.507,0.47886,0.44354,0.40405,0.34672
Mon 15:30,0.49429,0.51664,0.70222,0.73877,0.69473,0.66009,0.5461,0.52182,0.48801,0.40073,0.34854
Mon 16:00,0.54137,0.62828,0.75883,0.81291,0.75577,0.71984,0.62181,0.59451,0.52069,0.44429,0.4092
Mon 16:30,0.62348,0.72778,0.81259,0.89275,0.83224,0.89297,0.76545,0.67567,0.60109,0.49263,0.42924
Mon 17:00,0.72918,0.80331,0.85557,0.88583,0.84173,0.93843,0.83443,0.72929,0.64269,0.52235,0.51002
Mon 17:30,0.78432,0.8308,0.85391,0.87946,0.87709,0.94055,0.88057,0.70706,0.65373,0.54482,0.49981
Mon 18:00,0.78746,0.73372,0.82766,0.85913,0.86083,0.932,0.86242,0.81272,0.64693,0.52923,0.54118
Mon 18:30,0.73315,0.70033,0.78977,0.82573,0.79442,0.91241,0.84827,0.72597,0.58838,0.49111,0.49263
Mon 19:00,0.67434,0.64791,0.76844,0.74535,0.71871,0.86915,0.76189,0.7572,0.63308,0.4871,0.46229
Mon 19:30,0.65373,0.62552,0.72132,0.72043,0.70513,0.78844,0.70698,0.72529,0.60048,0.45677,0.47674
Mon 20:00,0.61603,0.56202,0.72822,0.70248,0.67378,0.79941,0.65593,0.67854,0.61266,0.48188,0.47757
Mon 20:30,0.54149,0.4961,0.65464,0.63295,0.59617,0.68414,0.61561,0.63104,0.58747,0.46661,0.48703
Mon 21:00,0.51017,0.47841,0.59464,0.61316,0.54349,0.64239,0.61622,0.53869,0.51653,0.46827,0.48786
Mon 21:30,0.44622,0.42111,0.5551,0.58324,0.50121,0.59723,0.53324,0.51902,0.4629,0.4685,0.43514
Mon 22:00,0.36714,0.36374,0.49213,0.51278,0.43923,0.52863,0.45337,0.44369,0.39974,0.41366,0.36132
Mon 22:30,0.31631,0.3207,0.42665,0.47848,0.38904,0.46895,0.38787,0.36661,0.33167,0.32206,0.31579
Mon 23:00,0.27297,0.28848,0.3672,0.43157,0.35584,0.42016,0.33152,0.30921,0.29597,0.27971,0.27638
Mon 23:30,0.24775,0.26178,0.34736,0.39717,0.31144,0.37682,0.31624,0.28931,0.25936,0.2555,0.25671
Tue 00:00,0.23304,0.26004,0.32006,0.35071,0.3218,0.34672,0.29884,0.28402,0.2437,0.23841,0.25308
Tue 00:30,0.22563,0.23194,0.29686,0.34241,0.27471,0.33772,0.28107,0.27638,0.24333,0.22411,0.22653
Tue 01:00,0.233,0.22211,0.26649,0.30833,0.26488,0.31715,0.26571,0.26995,0.24696,0.22767,0.23115
Tue 01:30,0.21719,0.21447,0.25599,0.30495,0.25573,0.30315,0.24953,0.26768,0.21988,0.21027,0.21564
Tue 02:00,0.2164,0.20936,0.24486,0.3048,0.23928,0.29688,0.23932,0.24454,0.19734,0.20263,0.19983
Tue 02:30,0.20422,0.19896,0.23153,0.29531,0.24896,0.294,0.24567,0.24227,0.19756,0.20074,0.20074
Tue 03:00,0.19439,0.20883,0.23274,0.29387,0.23686,0.28916,0.26239,0.23848,0.20256,0.19575,0.19378
Tue 03:30,0.21481,0.22457,0.25838,0.29812,0.25815,0.30141,0.26723,0.25588,0.20687,0.18962,0.21352
Tue 04:00,0.23527,0.2459,0.27449,0.30981,0.29158,0.30921,0.25785,0.26065,0.20883,0.17911,0.20483
Tue 04:30,0.25081,0.28005,0.27241,0.3052,0.28992,0.34914,0.30701,0.26632,0.23969,0.19461,0.20028
Tue 05:00,0.30921,0.29952,0.30087,0.34218,0.33954,0.36563,0.35133,0.30656,0.2611,0.21617,0.21746
Tue 05:30,0.36771,0.31722,0.34644,0.36342,0.40825,0.43295,0.40436,0.3496,0.31503,0.25928,0.25928
Tue 06:00,0.42659,0.35152,0.38278,0.38293,0.45469,0.53218,0.46593,0.38046,0.3443,0.32887,0.2704
Tue 06:30,0.48336,0.38775,0.45242,0.42035,0.52719,0.58952,0.53347,0.4722,0.43022,0.33159,0.31427
Tue 07:00,0.41797,0.39176,0.44505,0.44431,0.54432,0.54239,0.47387,0.47326,0.42569,0.35111,0.32622
