"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Mon 00:00,13.5734,16.238,25.895,29.103,27.108,29.044,24.56,18.456,14.772,12.08,11.448
Mon 00:30,13.4045,14.752,23.601,27.939,26.008,27.476,22.844,17.476,13.228,11.728,10.388
Mon 01:00,13.8624,13.44,21.935,26.372,23.636,26.564,22.66,21.948,15.276,10.764,9.956
Mon 01:30,13.1689,12.762,20.874,25.738,23.418,26.608,21.376,21.156,14.608,10.22,9.616
Mon 02:00,12.3156,11.8197,21.11,25.503,20.926,24.852,20.18,19.232,12.512,9.576,8.804
Mon 02:30,12.1848,11.6236,19.648,24.138,21.606,24.356,18.684,18.748,12.812,9.948,8.68
Mon 03:00,12.1665,11.4996,19.589,24.445,21.222,23.36,18.9,16.188,13.06,9.252,8.592
Mon 03:30,12.1941,12.0038,19.117,24.553,20.618,24.628,19.772,17.092,13.216,9.936,9.128
Mon 04:00,12.9051,13.5457,19.527,25.5779,22.32,26.396,21.008,18.48,12.26,9.016,9.372
Mon 04:30,13.6593,15.5336,20.043,24.601,22.992,27.532,21.604,19.98,12.444,8.448,9.4
Mon 05:00,15.5225,16.5694,21.078,25.329,24.062,27.112,22.584,21.308,13.068,9.748,10.94
Mon 05:30,18.8601,18.2365,22.719,24.878,25.292,31.352,24.528,23.288,13.676,9.608,13.452
Mon 06:00,22.4536,19.1325,22.0939,23.6439,27.314,31.164,26.248,21.54,14.66,10.408,14.576
Mon 06:30,22.8162,18.212,22.042,24.299,28.398,33.36,24.516,28.176,15.644,11.248,15.656
Mon 07:00,21.3711,18.064,23.113,24.257,26.066,28.872,24.356,25.02,17.212,14.276,14.152
Mon 07:30,19.3812,19.548,24.9169,24.733,24.218,26.588,20.724,24.32,17.868,15.032,14.708
Mon 08:00,17.1087,17.841,25.9548,28.221,22.452,24.184,20.464,21.344,19.272,16.46,15.592
Mon 08:30,16.5617,17.708,24.5372,30.0411,24.268,25.228,19.156,18.072,19.672,18.968,13.512
Mon 09:00,15.382,16.884,24.8445,29.925,20.26,26.392,19.568,18.684,19.948,20.052,13.508
Mon 09:30,13.642,16.872,24.034,31.0918,20.682,24.808,18.24,18.668,20.184,19.068,15.616
Mon 10:00,14.632,16.472,23.7433,30.424,20.978,23.212,20.544,18.708,21.228,21.864,14.1161
Mon 10:30,15.312,16.082,23.1734,31.3219,20.284,21.284,19.656,16.356,19.92,19.46,14.4221
Mon 11:00,15.17,16.53,20.3909,31.2991,21.776,23.552,21.552,17.504,18.9339,22.172,13.308
Mon 11:30,16.476,17.62,22.8776,31.3672,21.374,22.436,21.18,18.572,17.528,18.088,13.956
Mon 12:00,16.85,15.33,23.7189,29.316,20.832,25.648,20.096,17.824,15.0694,17.9291,12.96
Mon 12:30,16.8898,14.888,23.9807,28.7451,21.284,24.556,19.304,16.5025,16.3542,19.2551,14.808
Mon 13:00,16.478,16.854,24.4443,30.6031,22.788,24.648,22.584,19.208,16.58,18.6,12.909
Mon 13:30,16.012,16.972,25.6251,33.313,24.69,27.94,24.86,19.492,16.875,16.24,13.812
Mon 14:00,17.5222,17.122,27.0024,32.134,24.936,28.696,24.656,17.428,15.7686,16.892,13.644
Mon 14:30,17.962,17.54,28.1036,32.074,24.962,27.54,22.264,18.832,19.308,17.6,11.506
Mon 15:00,19.324,20.342,30.5364,33.3129,30.53,29.124,26.044,21.696,19.428,17.649,14.648
Mon 15:30,23.916,23.526,34.2143,35.2049,32.5009,30.784,28.416,24.696,19.304,19.2525,15.256
Mon 16:00,26.586,30.242,38.8351,41.1501,39.4866,39.304,33.94,29.304,25.152,22.176,20.628
Mon 16:30,31.76,35.194,39.552,43.7441,42.3995,44.096,35.388,32.34,27.784,23.204,21.064
Mon 17:00,34.156,35.792,40.6802,46.5671,41.7439,46.88,40.32,36.74,27.988,24.076,23.944
Mon 17:30,36.084,35.742,39.9479,46.7622,43.1544,48.796,41.732,38.328,30.08,24.808,24.388
Mon 18:00,35.218,33.678,39.226,42.918,41.7712,46.812,38.112,38.372,29.732,22.288,23.676
Mon 18:30,32.444,31.66,38.876,41.351,41.5505,46.012,38.72,40.04,29.42,20.808,23.512
Mon 19:00,31.174,29.446,36.9542,41.806,36.6314,45.072,36.44,39.472,26.316,21.228,23.4
Mon 19:30,30.616,27.522,36.769,39.427,35.894,41.46,33.028,37.04,26.396,21.46,23.572
Mon 20:00,28.2909,26.004,35.4541,38.8041,32.09,41.7,31.64,32.716,27.516,22.756,23.692
Mon 20:30,24.4333,23.256,31.136,35.4009,28.936,34.812,28.168,30.576,24.428,20.956,21.628
Mon 21:00,21.4972,21.682,29.461,33.237,28.024,32.34,27.368,27.736,23.356,20.476,22.456
Mon 21:30,19.7789,19.39,27.577,30.347,26.284,30.78,24.724,23.652,21.436,18.876,20.136
Mon 22:00,17.5414,18.036,24.861,28.4519,23.922,30.388,22.488,22,18.152,17.448,16.976
Mon 22:30,14.9504,16.41,24.5971,29.852,23.888,26.292,21.128,18.2,14.728,15.352,14.068
Mon 23:00,13.6234,16.27,24.862,29.404,23.482,28.272,22.592,15.624,14.04,12.508,12.508
Mon 23:30,13.4389,15.248,24.638,28.44,23.354,24.26,19.964,14.996,12.052,11.528,11.732
Tue 00:00,13.2284,15.3943,25.736,29.55,25.064,28.616,24.376,17.564,13.632,11.712,11.504
Tue 00:30,14.1342,13.5175,23.735,27.947,23.502,28.412,23.248,16.908,12.176,10.16,10.684
Tue 01:00,13.9882,13.0676,22.58,26.052,22.906,27.412,21.168,21.444,13.704,10.068,10.8094
Tue 01:30,13.9917,12.8236,21.93,26.155,21.994,26.832,20.972,20.208,13.072,10.032,11.1424
Tue 02:00,13.654,11.6253,20.715,24.563,20.608,25.952,19.912,19.268,12.952,9.672,9.48117
Tue 02:30,12.244,11.2465,19.683,23.767,19.652,24.808,19.216,18.24,11.984,9.02,8.72441
Tue 03:00,11.9052,11.2712,19.057,24.171,19.618,24.732,18.956,18.076,11.076,8.896,8.97146
Tue 03:30,11.952,12.8359,17.891,23.898,18.866,25.332,18.204,17.868,11.652,9.432,9.72014
