"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Sat 06:30,19.668,17.594,19.535,18.074,23.916,23.847,22.28,17.868,17.148,18.844,13.532
Sat 07:00,21.11,20.668,21.4909,21.716,24.552,24.424,23.604,17.78,18.092,20.804,14.892
Sat 07:30,22.65,23.328,25.511,24.298,26.128,27.784,26.048,21.472,22.888,18.804,17.56
Sat 08:00,24.24,21.96,26.3141,26.234,29.94,28.884,26.26,23.668,23.132,17.728,18.564
Sat 08:30,24.408,22.43,28.9339,27.622,30.402,31.172,26.708,25.068,24.18,17.236,20.464
Sat 09:00,24.092,22.188,29.3599,30.224,33.624,31.588,24.992,25.212,26.772,15.712,22.64
Sat 09:30,25.464,20.992,31.6181,31.236,34.884,33.188,26.056,25.028,25.536,16.5,19.772
Sat 10:00,24.59,22.898,34.711,31.688,31.93,33.364,25.86,26.088,25.9406,16.068,16.7431
Sat 10:30,23.91,23.248,33.9609,35.146,29.85,30.36,28.36,26.572,23.2424,15.798,18.944
Sat 11:00,23.936,22.91,35.987,34.234,31.684,31.148,28.688,26.72,22.5991,15.0657,17.064
Sat 11:30,24.208,23.92,33.806,33.77,31.384,34.296,29.612,27.972,22.4244,15.744,19.556
Sat 12:00,25.514,23.278,34.6818,34.086,32.436,33.536,29.372,27.332,22.2261,14.5655,18.808
Sat 12:30,24.418,22.808,34.783,35.342,30.608,33.28,29.66,23.188,22.1831,14.736,17.904
Sat 13:00,23.612,22.198,33.801,31.97,31.55,34.096,27.432,25.28,21.3556,15.656,16.244
Sat 13:30,22.368,21.872,32.4641,33.72,33.136,34.424,30.036,23.928,20.6142,15.068,18.412
Sat 14:00,22.452,22.008,32.4851,33.296,31.456,33.048,28.06,26.028,20.1821,14.44,16.407
Sat 14:30,22.11,23.34,33.62,33.752,31.198,33.368,27.792,26.024,20.41,15.4695,15.988
Sat 15:00,23.696,25.644,34.51,35.604,33.986,35.704,28.596,27.904,20.9694,18.212,17.068
Sat 15:30,25.732,28.996,39.915,39.548,37.05,37.724,28.168,25.964,21.8963,19.032,18.132
Sat 16:00,27.274,33.516,42.5959,42.944,42.64,39.172,31.288,29.272,23.8498,20.8,20.82
Sat 16:30,32.598,35.362,44.577,48.21,46.422,43.92,32.796,29.288,25.5883,23.44,21.52
Sat 17:00,36.958,36.176,43.765,49.288,46.85,47.028,37.6,32.78,27.1868,24.512,23.548
Sat 17:30,37.052,33.686,42.035,45.29,47.514,44.676,40.984,33.34,27.8478,24.992,21.516
Sat 18:00,34.354,32.886,40.499,46.876,44.266,43.236,42.036,34.768,27.6696,25.468,22.204
Sat 18:30,32.47,32.388,40.616,43.498,41.268,40.908,37.968,32.936,27.4928,23.476,22.268
Sat 19:00,31.134,30.86,38.316,39.238,37.062,39.084,36.816,34.76,27.2361,24.948,21.184
Sat 19:30,29.78,29.05,37.7761,39.082,36.502,37.248,35.868,32.64,27.6972,24.168,22.984
Sat 20:00,29.088,28.708,34.4029,38.394,32.174,34.832,34.384,31.22,27.5991,23.016,24.02
Sat 20:30,27.422,26.736,32.992,33.868,31.868,32.716,32,31.528,27.816,25.188,24.016
Sat 21:00,26.314,25.574,30.6091,32.28,32.588,30.796,30.016,28.292,25.252,24.512,23.824
Sat 21:30,24.548,23.542,29.5001,28.37,28.748,29.792,28.092,27.504,24.996,23.196,22.152
Sat 22:00,20.882,21.726,26.877,27.11,28.25,26.4,24.424,25.904,21.632,20.424,20.272
Sat 22:30,19.202,19.076,23.7559,24.762,24.122,24.34,22.604,22.604,19.712,19.432,17.988
Sat 23:00,16.83,17.18,21.978,21.63,21.834,21.892,20.56,17.944,17.364,17.176,16.384
Sat 23:30,14.26,15.898,20.492,20.64,20.696,20.396,18.56,17.672,16.292,14.66,14.42
Sun 00:00,13.4911,15.454,19.464,19.556,19.114,18.564,18.052,15.892,14.236,13.528,13.108
Sun 00:30,11.962,12.87,17.499,17.782,17.376,17.792,16.908,14.768,15.192,12.608,12.668
Sun 01:00,11.642,12.336,15.847,16.498,16.384,16.748,14.6,14.488,13.544,12.816,12.052
Sun 01:30,11.494,11.43,14.9421,15.916,15.746,16.492,14.2,14.652,12.968,11.216,11.12
Sun 02:00,11.258,11.046,15.621,15.302,15.314,15.352,14.256,13.636,11.604,10.888,10.932
Sun 02:30,10.59,11.006,15.038,14.288,14.656,15.032,13.188,12.084,11.348,10.132,10.556
Sun 03:00,10.45,11.2,15.24,14.296,13.53,14.832,13.284,12.1,11.476,10.636,10.472
Sun 03:30,11.978,11.506,15.464,15.406,15.07,15.704,14.436,12.584,11.124,10.56,10.66
Sun 04:00,13.394,11.848,15.323,14.542,14.742,15.892,14.98,11.936,11.852,9.752,10.292
Sun 04:30,13.508,12.102,15.886,15.076,15.026,15.792,15.584,12.92,10.624,10.312,9.704
Sun 05:00,14.33,12.362,16.571,16.2,16.802,17.128,16.076,13.34,11.632,10.628,10.632
